episode: 279, score: -11.08, reward gate: 1, average score: -0.16, steps: 56
episode: 280, score: -10.73, reward gate: 1, average score: -0.15, steps: 56
episode: 281, score: -10.61, reward gate: 1, average score: -0.15, steps: 57
episode: 282, score: -10.73, reward gate: 1, average score: -0.14, steps: 56
episode: 283, score: -10.73, reward gate: 1, average score: -0.14, steps: 56
episode: 284, score: -10.3, reward gate: 1, average score: -0.13, steps: 59
episode: 285, score: -10.94, reward gate: 1, average score: -0.13, steps: 57
episode: 286, score: -10.94, reward gate: 1, average score: -0.12, steps: 57
episode: 287, score: -10.97, reward gate: 1, average score: -0.12, steps: 57
episode: 288, score: -10.94, reward gate: 1, average score: -0.12, steps: 57
episode: 289, score: -11.08, reward gate: 1, average score: -0.12, steps: 56
episode: 290, score: -11.07, reward gate: 1, average score: -0.12, steps: 56
episode: 291, score: -11.07, reward gate: 1, average score: -0.12, steps: 56
episode: 292, score: -11.08, reward gate: 1, average score: -0.12, steps: 59
episode: 293, score: -11.21, reward gate: 1, average score: -0.12, steps: 56
episode: 294, score: -11.19, reward gate: 1, average score: -0.12, steps: 55
episode: 295, score: -11.19, reward gate: 1, average score: -0.12, steps: 55
episode: 296, score: -11.19, reward gate: 1, average score: -0.12, steps: 55
episode: 297, score: -11.19, reward gate: 1, average score: -0.12, steps: 55
episode: 298, score: -11.19, reward gate: 1, average score: -0.12, steps: 55
episode: 299, score: -11.18, reward gate: 1, average score: -0.12, steps: 58
episode: 300, score: -10.92, reward gate: 1, average score: -0.12, steps: 58
episode: 301, score: -11.18, reward gate: 1, average score: -0.12, steps: 55
episode: 302, score: -11.19, reward gate: 1, average score: -0.12, steps: 55
episode: 303, score: -11.36, reward gate: 1, average score: -0.13, steps: 58
episode: 304, score: -11.16, reward gate: 1, average score: -0.13, steps: 55
episode: 305, score: -11.06, reward gate: 1, average score: -0.13, steps: 56
episode: 306, score: -11.16, reward gate: 1, average score: -0.13, steps: 55
episode: 307, score: -11.3, reward gate: 1, average score: -0.13, steps: 54
episode: 308, score: -11.3, reward gate: 1, average score: -0.13, steps: 54
episode: 309, score: -11.3, reward gate: 1, average score: -0.13, steps: 54
episode: 310, score: -11.3, reward gate: 1, average score: -0.14, steps: 54
episode: 311, score: -11.06, reward gate: 1, average score: -0.14, steps: 57
episode: 312, score: -10.92, reward gate: 1, average score: -0.13, steps: 58
episode: 313, score: -11.29, reward gate: 1, average score: -0.13, steps: 65
episode: 314, score: -11.14, reward gate: 1, average score: -0.14, steps: 300
episode: 315, score: -11.53, reward gate: 1, average score: -0.14, steps: 59
episode: 316, score: -11.33, reward gate: 1, average score: -0.14, steps: 54
episode: 317, score: -11.35, reward gate: 1, average score: -0.14, steps: 58
episode: 318, score: -11.39, reward gate: 1, average score: -0.14, steps: 53
episode: 319, score: -11.51, reward gate: 1, average score: -0.15, steps: 52
episode: 320, score: -11.11, reward gate: 1, average score: -0.15, steps: 53
episode: 321, score: -11.5, reward gate: 1, average score: -0.15, steps: 52
episode: 322, score: -11.5, reward gate: 1, average score: -0.15, steps: 53
episode: 323, score: -11.02, reward gate: 1, average score: -0.15, steps: 57
episode: 324, score: -11.33, reward gate: 1, average score: -0.15, steps: 54
episode: 325, score: -11.11, reward gate: 1, average score: -0.15, steps: 53
episode: 326, score: -11.5, reward gate: 1, average score: -0.15, steps: 52
